,GEO_ID,Name,Total Population,Percent Male,Percent Female,Median Age,Percent Under 18,Percent 65 and Over,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Other Race,Percent Two or More Races,Percent Hispanic or Latino,Total Housing Units,Median Income,Percent of Population over 25 with Bachelor's Degree or Higher
0,1400000US19001960100,Census Tract 9601; Adair County; Iowa,2813,50.8,49.2,43.2,21.9,20.8,97.1,0.0,0.0,0.0,0.0,0.3,2.6,5.8,1322,63125,17.3
1,1400000US19001960200,Census Tract 9602; Adair County; Iowa,1737,51.8,48.2,44.3,21.5,22.4,97.1,0.0,0.0,0.0,0.7,1.5,0.7,1.4,820,85278,20.4
2,1400000US19001960300,Census Tract 9603; Adair County; Iowa,2929,50.8,49.2,42.4,22.7,23.4,94.7,1.6,0.0,0.3,0.0,0.8,2.6,0.3,1464,54079,19.9
3,1400000US19003950100,Census Tract 9501; Adams County; Iowa,1670,52.6,47.4,46.7,23.1,20.2,95.3,0.1,0.0,0.0,0.0,1.9,2.7,2.3,807,67917,19.4
4,1400000US19003950200,Census Tract 9502; Adams County; Iowa,2010,48.3,51.7,46.1,19.5,25.3,94.4,0.5,0.8,0.0,0.0,0.9,3.4,1.6,1086,56250,23.1
5,1400000US19005960100,Census Tract 9601; Allamakee County; Iowa,1977,47.3,52.7,50.8,17.6,31.7,97.8,0.8,1.2,0.0,0.0,0.0,0.3,0.8,1361,59605,23.2
6,1400000US19005960200,Census Tract 9602; Allamakee County; Iowa,2314,56.5,43.5,49.8,17.5,20.8,97.8,0.3,0.0,0.0,0.0,0.0,1.9,0.2,1135,73640,19.9
7,1400000US19005960300,Census Tract 9603; Allamakee County; Iowa,4161,48.8,51.2,38.7,23.6,23.5,95.8,0.0,0.6,0.6,0.0,1.8,1.2,2.1,2040,55672,20.5
8,1400000US19005960400,Census Tract 9604; Allamakee County; Iowa,2072,52.4,47.6,56.4,18.3,29.8,99.5,0.0,0.0,0.0,0.0,0.1,0.4,0.2,1865,67015,16.1
9,1400000US19005960500,Census Tract 9605; Allamakee County; Iowa,3522,49.1,50.9,30.6,34.2,13.8,77.7,6.2,2.4,1.6,0.0,3.7,8.3,26.6,1295,66094,12.6
10,1400000US19007950100,Census Tract 9501; Appanoose County; Iowa,2440,50.5,49.5,39.4,24.4,21.2,96.1,0.0,0.0,1.1,0.0,0.0,2.8,0.0,1152,69052,19.3
11,1400000US19007950200,Census Tract 9502; Appanoose County; Iowa,1688,54.6,45.4,50.3,19.8,21.2,93.7,0.2,0.0,0.0,0.0,0.0,6.0,2.9,977,69583,22.3
12,1400000US19007950300,Census Tract 9503; Appanoose County; Iowa,2985,44.9,55.1,50.6,17.3,27.9,96.5,1.5,0.0,0.0,0.0,0.0,1.9,3.0,1726,41723,19.0
13,1400000US19007950400,Census Tract 9504; Appanoose County; Iowa,3249,51.8,48.2,40.8,22.2,25.1,90.3,0.0,0.5,0.2,0.0,0.0,9.0,4.7,1520,43828,15.9
14,1400000US19007950500,Census Tract 9505; Appanoose County; Iowa,1917,50.6,49.4,38.4,27.5,18.6,99.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,946,61174,19.6
15,1400000US19009070100,Census Tract 701; Audubon County; Iowa,1750,46.8,53.2,44.1,27.2,18.4,96.1,0.3,0.0,0.0,0.0,2.8,0.8,2.7,820,68266,23.9
16,1400000US19009070200,Census Tract 702; Audubon County; Iowa,2222,51.2,48.8,48.1,19.9,27.9,94.1,0.5,0.0,0.1,0.0,0.9,4.4,0.9,1175,43717,23.3
17,1400000US19009070300,Census Tract 703; Audubon County; Iowa,1679,50.9,49.1,53.6,19.6,27.1,96.1,0.0,0.2,0.0,0.0,0.7,3.0,3.4,810,52232,17.6
18,1400000US19011960100,Census Tract 9601; Benton County; Iowa,3051,49.9,50.1,39.5,25.7,12.4,93.4,0.5,0.0,0.0,0.0,1.3,4.9,1.7,1116,94949,26.4
19,1400000US19011960200,Census Tract 9602; Benton County; Iowa,3086,49.4,50.6,40.0,24.7,17.2,96.0,0.0,0.0,0.5,0.0,0.6,2.8,0.6,1289,85893,21.8
20,1400000US19011960300,Census Tract 9603; Benton County; Iowa,5144,46.2,53.8,44.5,22.8,22.7,93.2,1.3,0.3,0.5,0.0,1.4,3.2,2.8,2479,62550,26.1
21,1400000US19011960400,Census Tract 9604; Benton County; Iowa,3283,49.3,50.7,46.2,20.2,19.7,98.2,0.0,0.0,0.0,0.0,0.0,1.8,1.8,1469,86167,22.1
22,1400000US19011960500,Census Tract 9605; Benton County; Iowa,5880,51.8,48.2,39.4,26.2,15.2,97.9,0.2,0.0,0.2,0.0,0.0,1.7,0.3,2309,97661,28.1
23,1400000US19011960600,Census Tract 9606; Benton County; Iowa,2548,54.7,45.3,44.2,20.1,25.0,93.6,0.4,0.2,0.3,0.0,3.9,1.6,3.7,1132,71094,18.1
24,1400000US19011960700,Census Tract 9607; Benton County; Iowa,2660,54.6,45.4,46.1,18.2,21.9,95.5,0.0,0.0,0.1,0.0,1.6,2.8,2.1,1280,67457,14.0
25,1400000US19013000100,Census Tract 1; Black Hawk County; Iowa,1517,60.1,39.9,39.7,15.9,23.3,60.5,31.6,0.0,2.1,0.0,4.4,1.3,13.6,1071,20483,11.3
26,1400000US19013000200,Census Tract 2; Black Hawk County; Iowa,3266,49.1,50.9,25.8,34.1,4.4,38.8,19.6,1.1,12.8,9.1,12.6,6.0,23.9,1351,51413,18.8
27,1400000US19013000300,Census Tract 3; Black Hawk County; Iowa,2420,44.7,55.3,37.2,25.7,13.8,59.6,30.9,0.1,2.8,0.0,4.6,2.1,9.8,1529,27158,8.0
28,1400000US19013000400,Census Tract 4; Black Hawk County; Iowa,1682,50.2,49.8,33.0,23.5,8.4,86.0,7.0,0.0,0.0,0.0,3.4,3.6,4.6,811,48523,14.0
29,1400000US19013000500,Census Tract 5; Black Hawk County; Iowa,1534,47.6,52.4,27.8,30.2,8.7,58.1,22.7,3.1,0.3,3.8,5.0,6.9,9.7,676,53050,10.1
30,1400000US19013000700,Census Tract 7; Black Hawk County; Iowa,1528,40.1,59.9,23.9,32.5,7.5,46.4,24.9,1.3,4.5,0.0,5.9,17.1,15.9,620,36806,19.5
31,1400000US19013000800,Census Tract 8; Black Hawk County; Iowa,3626,51.0,49.0,42.8,21.3,12.5,70.5,8.8,0.0,0.2,0.0,13.8,6.7,18.8,1730,43125,8.4
32,1400000US19013000900,Census Tract 9; Black Hawk County; Iowa,2335,56.4,43.6,34.4,22.6,15.2,67.5,17.5,5.5,6.2,0.0,0.0,3.4,9.2,1343,41806,29.4
33,1400000US19013001000,Census Tract 10; Black Hawk County; Iowa,3904,47.6,52.4,34.1,28.4,13.4,78.9,14.0,0.0,5.1,0.0,0.7,1.3,2.8,1614,60471,11.9
34,1400000US19013001100,Census Tract 11; Black Hawk County; Iowa,2728,47.7,52.3,35.6,22.3,14.5,78.4,7.7,0.5,5.2,0.0,1.8,6.3,9.3,1306,49350,14.0
35,1400000US19013001200,Census Tract 12; Black Hawk County; Iowa,2279,53.3,46.7,42.3,19.7,19.8,90.3,2.6,0.0,2.7,1.4,0.5,2.5,1.3,1112,69400,25.3
36,1400000US19013001301,Census Tract 13.01; Black Hawk County; Iowa,4114,52.4,47.6,38.6,19.2,22.0,73.8,16.4,0.8,1.0,0.0,1.7,6.3,6.0,1906,67088,32.6
37,1400000US19013001302,Census Tract 13.02; Black Hawk County; Iowa,3606,46.6,53.4,40.9,21.9,22.2,72.4,16.5,0.0,2.9,3.1,1.9,3.2,2.2,1760,50560,38.6
38,1400000US19013001400,Census Tract 14; Black Hawk County; Iowa,4603,47.8,52.2,36.7,27.3,17.7,75.7,18.0,0.0,1.8,0.6,0.5,3.4,2.7,1999,84183,46.3
39,1400000US19013001501,Census Tract 15.01; Black Hawk County; Iowa,3331,46.5,53.5,36.8,20.2,22.1,80.5,10.1,0.4,5.3,0.0,0.0,3.7,5.7,1760,56190,32.1
40,1400000US19013001502,Census Tract 15.02; Black Hawk County; Iowa,4367,51.4,48.6,38.8,22.9,16.6,76.3,16.5,0.4,1.4,0.0,1.1,4.2,2.5,2014,57650,16.8
41,1400000US19013001503,Census Tract 15.03; Black Hawk County; Iowa,3600,52.7,47.3,41.5,16.9,22.0,83.6,6.2,0.0,2.5,0.0,0.6,7.1,1.5,1631,93463,23.9
42,1400000US19013001600,Census Tract 16; Black Hawk County; Iowa,2538,51.3,48.7,36.5,25.6,20.6,77.7,14.9,0.3,0.0,0.0,0.9,6.1,14.9,1217,57422,13.1
43,1400000US19013001701,Census Tract 17.01; Black Hawk County; Iowa,1790,47.2,52.8,33.6,23.7,11.5,40.1,54.0,0.0,0.0,0.0,3.3,2.6,6.0,973,31593,12.9
44,1400000US19013001702,Census Tract 17.02; Black Hawk County; Iowa,2336,58.5,41.5,39.3,28.3,18.5,48.0,36.8,0.0,2.5,0.0,0.9,11.8,6.9,1002,44043,15.0
45,1400000US19013001800,Census Tract 18; Black Hawk County; Iowa,1596,34.5,65.5,40.5,26.9,10.8,15.2,81.5,0.1,0.0,0.0,2.1,1.1,2.3,810,24957,8.1
46,1400000US19013001900,Census Tract 19; Black Hawk County; Iowa,1762,51.4,48.6,37.7,23.7,19.6,53.5,32.7,0.0,0.4,3.6,3.1,6.6,10.7,848,57036,12.7
47,1400000US19013002000,Census Tract 20; Black Hawk County; Iowa,5098,51.4,48.6,42.7,21.4,19.7,90.4,4.7,0.0,0.1,0.0,0.0,4.8,1.2,2588,54869,11.1
48,1400000US19013002200,Census Tract 22; Black Hawk County; Iowa,3793,52.8,47.2,38.4,15.9,19.3,97.3,0.3,0.1,0.2,0.0,0.4,1.6,3.1,1927,69375,46.9
49,1400000US19013002301,Census Tract 23.01; Black Hawk County; Iowa,2359,44.6,55.4,23.9,18.1,8.6,85.4,4.0,0.0,5.3,0.0,0.2,5.1,1.0,976,67065,42.6
50,1400000US19013002303,Census Tract 23.03; Black Hawk County; Iowa,3985,34.1,65.9,20.1,0.1,0.7,88.6,2.4,0.5,4.8,0.0,0.2,3.6,5.1,530,34615,35.7
51,1400000US19013002304,Census Tract 23.04; Black Hawk County; Iowa,2735,60.1,39.9,22.7,4.3,12.5,86.6,5.6,0.0,1.9,0.0,0.0,6.0,2.1,1213,50638,46.3
52,1400000US19013002400,Census Tract 24; Black Hawk County; Iowa,3886,51.8,48.2,38.4,18.9,18.7,93.2,0.8,0.0,1.6,0.0,0.4,4.0,2.1,1751,81050,43.1
53,1400000US19013002500,Census Tract 25; Black Hawk County; Iowa,6034,48.5,51.5,34.3,19.1,17.7,95.8,0.1,1.3,1.9,0.0,0.0,1.0,4.4,2677,66840,48.9
54,1400000US19013002601,Census Tract 26.01; Black Hawk County; Iowa,5645,48.5,51.5,31.5,20.4,19.1,94.1,0.2,0.0,5.6,0.0,0.0,0.1,1.0,2539,67927,48.1
55,1400000US19013002604,Census Tract 26.04; Black Hawk County; Iowa,4029,50.2,49.8,47.5,22.5,24.4,93.4,1.8,0.0,1.0,0.0,0.4,3.4,2.1,1642,75833,21.6
56,1400000US19013002605,Census Tract 26.05; Black Hawk County; Iowa,6454,45.0,55.0,33.1,23.1,13.8,87.6,0.9,0.0,8.8,0.3,0.0,2.4,1.1,2614,76090,58.5
57,1400000US19013002606,Census Tract 26.06; Black Hawk County; Iowa,5158,44.6,55.4,38.7,24.6,23.4,95.9,0.4,0.1,3.1,0.0,0.0,0.6,3.8,1986,138627,59.9
58,1400000US19013002700,Census Tract 27; Black Hawk County; Iowa,3782,50.1,49.9,46.9,20.4,21.5,97.1,0.4,0.0,0.0,0.0,0.6,1.9,1.5,1608,81250,18.1
59,1400000US19013002800,Census Tract 28; Black Hawk County; Iowa,2718,47.6,52.4,42.9,21.6,18.8,98.9,0.0,0.0,0.0,0.0,0.0,1.0,0.7,1230,93450,23.3
60,1400000US19013002901,Census Tract 29.01; Black Hawk County; Iowa,1261,48.1,51.9,48.6,20.2,23.6,95.2,0.0,0.0,0.0,0.0,1.4,3.4,4.4,536,75375,15.9
61,1400000US19013002902,Census Tract 29.02; Black Hawk County; Iowa,3741,52.1,47.9,38.2,24.9,19.6,95.1,0.5,0.1,0.0,0.0,2.1,2.2,0.7,1628,72760,20.5
62,1400000US19013003001,Census Tract 30.01; Black Hawk County; Iowa,5794,52.2,47.8,37.5,23.1,22.7,92.0,3.0,0.0,0.4,0.0,0.2,4.3,1.5,2471,65840,40.4
63,1400000US19013003002,Census Tract 30.02; Black Hawk County; Iowa,4107,55.1,44.9,40.3,26.0,15.8,93.6,2.0,0.2,0.7,0.0,0.0,3.5,2.3,1600,110795,40.7
64,1400000US19015020100,Census Tract 201; Boone County; Iowa,3362,56.6,43.4,46.4,22.5,19.3,93.8,0.9,0.0,0.0,0.0,5.1,0.3,7.3,1434,100170,33.7
65,1400000US19015020200,Census Tract 202; Boone County; Iowa,3954,48.2,51.8,35.9,21.6,14.5,95.0,3.1,0.0,0.0,0.0,0.0,1.8,1.8,1764,71645,15.3
66,1400000US19015020300,Census Tract 203; Boone County; Iowa,5972,51.2,48.8,39.4,17.4,16.8,92.7,0.0,0.0,0.0,0.0,0.5,6.8,2.6,2978,63623,31.8
67,1400000US19015020400,Census Tract 204; Boone County; Iowa,2465,49.8,50.2,41.5,23.0,21.6,95.8,1.7,0.0,0.0,0.0,0.6,1.9,2.3,919,61250,15.2
68,1400000US19015020500,Census Tract 205; Boone County; Iowa,5194,49.0,51.0,43.1,23.0,19.9,95.0,2.6,0.3,0.0,0.0,0.0,2.0,2.4,2136,88269,31.1
69,1400000US19015020600,Census Tract 206; Boone County; Iowa,2087,58.3,41.7,51.3,19.0,23.0,97.4,0.7,0.0,0.0,0.0,0.0,1.9,2.8,889,103021,29.2
70,1400000US19015020700,Census Tract 207; Boone County; Iowa,3666,48.5,51.5,44.8,21.0,23.5,98.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8,1830,70618,22.3
71,1400000US19017004000,Census Tract 40; Bremer County; Iowa,2434,50.0,50.0,21.7,10.1,17.7,89.4,6.9,0.0,1.4,0.0,0.5,1.8,3.4,700,48487,41.7
72,1400000US19017004100,Census Tract 41; Bremer County; Iowa,3482,49.3,50.7,37.7,23.5,17.8,92.8,0.8,0.0,0.9,0.0,0.3,5.1,3.8,1465,85441,41.0
73,1400000US19017004200,Census Tract 42; Bremer County; Iowa,4660,45.0,55.0,39.5,23.3,21.2,88.7,2.3,0.9,2.4,0.0,1.5,4.2,3.0,1988,84756,40.6
74,1400000US19017004300,Census Tract 43; Bremer County; Iowa,1892,49.7,50.3,36.6,27.4,17.9,97.6,0.0,0.1,0.2,0.0,0.7,1.4,1.7,730,88015,20.7
75,1400000US19017004400,Census Tract 44; Bremer County; Iowa,2647,54.3,45.7,42.3,21.0,20.7,91.6,0.0,0.0,0.0,0.0,5.1,3.3,0.5,1221,89444,27.4
76,1400000US19017004500,Census Tract 45; Bremer County; Iowa,2530,53.0,47.0,47.9,18.1,20.2,98.1,0.0,0.0,0.3,0.2,0.0,1.4,0.1,1214,76429,17.9
77,1400000US19017004600,Census Tract 46; Bremer County; Iowa,5192,51.5,48.5,38.3,28.3,17.9,97.5,0.0,0.0,0.5,0.0,0.2,1.8,0.8,2154,94746,44.0
78,1400000US19017004700,Census Tract 47; Bremer County; Iowa,2175,50.9,49.1,46.7,22.3,22.9,96.7,1.1,0.4,0.0,0.0,0.0,1.7,0.8,1021,59118,22.2
79,1400000US19019950100,Census Tract 9501; Buchanan County; Iowa,2513,51.9,48.1,39.9,28.1,19.3,95.7,0.3,0.7,0.1,0.4,0.4,2.3,1.7,1017,63681,16.3
80,1400000US19019950200,Census Tract 9502; Buchanan County; Iowa,3642,50.7,49.3,37.8,29.7,15.6,96.6,0.1,0.2,0.1,0.2,0.0,2.7,0.1,1443,74130,16.2
81,1400000US19019950300,Census Tract 9503; Buchanan County; Iowa,3079,54.0,46.0,34.1,26.7,15.6,98.6,0.0,0.0,0.0,0.0,0.0,1.4,0.9,1345,81063,18.1
82,1400000US19019950400,Census Tract 9504; Buchanan County; Iowa,2997,44.9,55.1,39.4,24.7,21.7,91.6,4.6,0.1,0.0,0.0,0.0,3.8,3.5,1295,62983,24.7
83,1400000US19019950500,Census Tract 9505; Buchanan County; Iowa,3811,51.5,48.5,42.3,20.7,21.1,98.2,0.1,0.2,0.0,0.0,0.1,1.4,4.4,1870,75446,25.9
84,1400000US19019950600,Census Tract 9506; Buchanan County; Iowa,4589,48.3,51.7,43.5,25.4,16.3,98.3,0.1,0.0,0.2,0.0,0.1,1.3,0.7,1941,76086,22.2
85,1400000US19021960100,Census Tract 9601; Buena Vista County; Iowa,1322,52.9,47.1,48.5,17.9,25.9,93.0,0.4,0.0,0.0,0.0,2.3,4.4,6.5,640,70625,17.4
86,1400000US19021960200,Census Tract 9602; Buena Vista County; Iowa,1683,52.2,47.8,49.9,22.9,24.1,86.3,0.1,0.5,0.0,0.0,7.8,5.2,13.3,810,59881,19.3
87,1400000US19021960300,Census Tract 9603; Buena Vista County; Iowa,1986,55.0,45.0,38.5,30.4,17.2,92.1,0.0,0.0,1.6,0.3,4.1,1.9,6.0,726,75357,23.0
88,1400000US19021960400,Census Tract 9604; Buena Vista County; Iowa,6099,50.4,49.6,31.7,29.4,13.7,52.8,4.0,0.1,22.0,3.2,10.7,7.1,34.4,2556,54830,16.4
89,1400000US19021960500,Census Tract 9605; Buena Vista County; Iowa,5709,48.1,51.9,30.1,24.3,14.5,57.1,3.9,0.6,6.8,3.9,13.6,14.2,45.0,1976,53823,20.6
90,1400000US19021960600,Census Tract 9606; Buena Vista County; Iowa,3888,54.2,45.8,38.2,26.4,15.9,81.5,3.4,0.0,9.1,0.3,3.1,2.7,12.3,1489,86402,32.7
91,1400000US19023070100,Census Tract 701; Butler County; Iowa,3039,47.9,52.1,44.2,21.9,19.0,96.1,0.7,0.0,0.1,0.0,0.4,2.7,2.0,1315,71063,16.5
92,1400000US19023070200,Census Tract 702; Butler County; Iowa,1865,46.5,53.5,42.3,22.3,24.0,96.3,0.1,0.0,0.0,0.0,1.0,2.6,6.5,843,55078,8.9
93,1400000US19023070300,Census Tract 703; Butler County; Iowa,2794,50.8,49.2,49.0,17.3,30.3,94.7,0.9,0.0,2.6,0.0,0.6,1.1,1.0,1421,61212,20.2
94,1400000US19023070400,Census Tract 704; Butler County; Iowa,3512,51.1,48.9,42.5,25.4,21.0,96.5,0.1,0.2,1.3,0.0,1.1,0.9,0.6,1671,65406,25.0
